批id,次id       ,异常数量,总数,
x  ,1606324187,0   ,0 ,
x  ,1606324745,0   ,0 ,
x  ,1606324749,0   ,0 ,
x  ,1606324754,0   ,0 ,
x  ,1606325020,0   ,0 ,
x  ,1606351692,0   ,0 ,
x  ,1606351720,0   ,0 ,
x  ,1606351762,0   ,0 ,
x  ,1606351912,0   ,0 ,
x  ,1606351928,0   ,0 ,
x  ,1606352283,0   ,0 ,
x  ,1606353352,0   ,0 ,
x  ,1606353371,0   ,0 ,
x  ,1606355072,0   ,0 ,
x  ,1606355075,0   ,0 ,
x  ,1606355194,0   ,0 ,
x  ,1606355268,0   ,0 ,
x  ,1606355302,0   ,0 ,
x  ,1606355427,0   ,0 ,
x  ,1606355534,0   ,0 ,
x  ,1606355640,0   ,0 ,
x  ,1606355669,0   ,0 ,
x  ,1606355688,0   ,0 ,
x  ,1606355853,0   ,0 ,
x  ,1606355864,0   ,0 ,
x  ,1606356138,0   ,0 ,
x  ,1606356186,0   ,0 ,
x  ,1606356331,0   ,0 ,
x  ,1606356338,0   ,0 ,
x  ,1606356347,0   ,0 ,
x  ,1606356403,0   ,0 ,
x  ,1606356417,0   ,0 ,
x  ,1606370858,0   ,0 ,
x  ,1606370880,0   ,0 ,
x  ,1606371643,0   ,0 ,
x  ,1606371845,0   ,0 ,
x  ,1606371951,0   ,0 ,
x  ,1606372241,0   ,0 ,
x  ,1606372248,0   ,0 ,
x  ,1606372363,0   ,0 ,
x  ,1606372892,0   ,0 ,
x  ,1606378137,0   ,0 ,
x  ,1606378191,0   ,0 ,
x  ,1606378193,0   ,0 ,
x  ,1606378230,0   ,0 ,
x  ,1606378265,0   ,0 ,
x  ,1606379649,0   ,0 ,
x  ,1606379871,0   ,0 ,
x  ,1606380180,0   ,0 ,
x  ,1606380191,0   ,0 ,
x  ,1606380354,0   ,0 ,
x  ,1606380404,0   ,0 ,
x  ,1606380452,0   ,0 ,
x  ,1606380922,0   ,0 ,
x  ,1606380966,0   ,0 ,
x  ,1606381190,0   ,0 ,
x  ,1606381222,0   ,0 ,
x  ,1606381733,0   ,0 ,
x  ,1606382068,0   ,0 ,
x  ,1606382229,0   ,0 ,
x  ,1606382288,0   ,0 ,
x  ,1606385688,0   ,0 ,
x  ,1606385741,0   ,0 ,
x  ,1606385788,0   ,0 ,
x  ,1606385814,0   ,0 ,
x  ,1606385995,0   ,0 ,
x  ,1606386028,0   ,0 ,
x  ,1606386034,0   ,0 ,
x  ,1606386133,0   ,0 ,
x  ,1606386263,0   ,0 ,
x  ,1606386269,0   ,0 ,
x  ,1606386295,0   ,0 ,
x  ,1606386307,0   ,0 ,
x  ,1606386597,0   ,0 ,
x  ,1606387215,0   ,0 ,
x  ,1606387223,0   ,0 ,
x  ,1606387336,0   ,0 ,
x  ,1606387427,0   ,0 ,
x  ,1606387588,0   ,0 ,
x  ,1606388172,0   ,0 ,
x  ,1606388279,0   ,0 ,
x  ,1606388284,0   ,0 ,
x  ,1606388295,0   ,0 ,
x  ,1606388299,0   ,0 ,
x  ,1606388327,0   ,0 ,
x  ,1606388337,0   ,0 ,
x  ,1606389146,0   ,0 ,
x  ,1606389246,0   ,0 ,
x  ,1606390072,0   ,0 ,
x  ,1606390087,0   ,0 ,
x  ,1606390207,0   ,0 ,
x  ,1606390249,0   ,0 ,
x  ,1606390344,0   ,0 ,
x  ,1606390348,0   ,0 ,
x  ,1606390351,0   ,0 ,
x  ,1606390536,0   ,0 ,
x  ,1606396288,0   ,0 ,
x  ,1606396313,0   ,0 ,
x  ,1606396320,0   ,0 ,
x  ,1606396468,0   ,0 ,
x  ,1606396485,0   ,0 ,
x  ,1606396493,0   ,0 ,
x  ,1606396652,0   ,0 ,
x  ,1606396751,0   ,0 ,
x  ,1606396763,0   ,0 ,
x  ,1606396867,0   ,0 ,
x  ,1606396869,0   ,0 ,
x  ,1606396870,0   ,0 ,
x  ,1606396911,0   ,0 ,
x  ,1606396913,0   ,0 ,
x  ,1606396962,0   ,0 ,
x  ,1606396976,0   ,0 ,
x  ,1606397495,0   ,0 ,
x  ,1606397504,0   ,0 ,
x  ,1606398065,0   ,0 ,
x  ,1606398190,0   ,0 ,
x  ,1606398221,0   ,0 ,
x  ,1606398224,0   ,0 ,
x  ,1606398228,0   ,0 ,
x  ,1606398289,0   ,0 ,
x  ,1606398292,0   ,0 ,
x  ,1606398297,0   ,0 ,
x  ,1606398307,0   ,0 ,
x  ,1606398310,0   ,0 ,
x  ,1606398422,0   ,0 ,
x  ,1606398449,0   ,0 ,
x  ,1606398465,0   ,0 ,
x  ,1606398469,0   ,0 ,
x  ,1606398507,0   ,0 ,
x  ,1606398538,0   ,0 ,
x  ,1606398540,0   ,0 ,
x  ,1606398542,0   ,0 ,
x  ,1606398673,0   ,0 ,
x  ,1606398758,0   ,0 ,
x  ,1606398762,0   ,0 ,
x  ,1606398984,0   ,0 ,
x  ,1606399279,0   ,0 ,
x  ,1606399656,0   ,0 ,
x  ,1606447334,0   ,0 ,
