批id, 次id, 异常数量, 总数,
x,1606470177,0,0,
x,1606472641,0,0,
x,1606472723,0,0,
x,1606473116,0,0,
x,1606473249,0,0,
x,1606473268,0,0,
x,1606473273,0,0,
x,1606473282,0,0,
x,1606473286,0,0,
x,1606475427,0,0,
x,1606475558,0,0,
x,1606475573,0,0,
x,1606477074,0,0,
x,1606478798,0,0,
x,1606478813,0,0,
x,1606479033,0,0,
x,1606479518,0,0,
x,1606479654,0,0,
x,1606479663,0,0,
x,1606479671,0,0,
x,1606479695,0,0,
x,1606479697,0,0,
x,1606486794,0,0,
x,1606486862,0,0,
x,1606492459,0,0,
x,1606492461,0,0,
x,1606492493,0,0,
